"Activo","Fecha","Activo Tot| en moneda orig| en miles| consolid:si*|AENZAC1","Activo Tot| en moneda orig| en miles| consolid:si*|DESXXIC1","Activo Tot| en moneda orig| en miles| consolid:si*|RVIA5BC1","PasCor| en moneda orig| en miles| consolid:si*|AENZAC1","PasCor| en moneda orig| en miles| consolid:si*|DESXXIC1","PasCor| en moneda orig| en miles| consolid:si*|RVIA5BC1","ActCor| en moneda orig| en miles| consolid:si*","PrPlEq| en moneda orig| en miles| consolid:si*|AENZAC1","PrPlEq| en moneda orig| en miles| consolid:si*|DESXXIC1","PrPlEq| en moneda orig| en miles| consolid:si*|RVIA5BC1","IngrNet| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","IngrNet| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","IngrNet| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","Cierre|ajust p/var cap|en moneda orig|AENZAC1","Cierre|ajust p/var cap|en moneda orig|DESXXIC1","Cierre|ajust p/var cap|en moneda orig|RVIA5BC1","Volumen$|en moneda orig|en miles|AENZAC1","Volumen$|en moneda orig|en miles|DESXXIC1","Volumen$|en moneda orig|en miles|RVIA5BC1","Result Bruto| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","Result Bruto| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","Result Bruto| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","EBITDA| en moneda orig| en miles| de 12 meses| consolid:si*|AENZAC1","EBITDA| en moneda orig| en miles| de 12 meses| consolid:si*|DESXXIC1","EBITDA| en moneda orig| en miles| de 12 meses| consolid:si*|RVIA5BC1","CicOpe| de 12 meses| consolid:si*|AENZAC1","CicOpe| de 12 meses| consolid:si*|DESXXIC1","CicOpe| de 12 meses| consolid:si*|RVIA5BC1","CapTrb| en moneda orig| en miles| consolid:si*|AENZAC1","CapTrb| en moneda orig| en miles| consolid:si*|DESXXIC1","CapTrb| en moneda orig| en miles| consolid:si*|RVIA5BC1","GasAdm| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","GasAdm| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","GasAdm| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","CstVen| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","CstVen| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","CstVen| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","PPProv| de 12 meses| consolid:si*|AENZAC1","PPProv| de 12 meses| consolid:si*|DESXXIC1","PPProv| de 12 meses| consolid:si*|RVIA5BC1","Inventario| en moneda orig| en miles| consolid:si*|AENZAC1","Inventario| en moneda orig| en miles| consolid:si*|DESXXIC1","Inventario| en moneda orig| en miles| consolid:si*|RVIA5BC1","PasTot| en moneda orig| en miles| consolid:si*|AENZAC1","PasTot| en moneda orig| en miles| consolid:si*|DESXXIC1","PasTot| en moneda orig| en miles| consolid:si*|RVIA5BC1","CueCobCP| en moneda orig| en miles| consolid:si*|AENZAC1","CueCobCP| en moneda orig| en miles| consolid:si*|DESXXIC1","CueCobCP| en moneda orig| en miles| consolid:si*|RVIA5BC1","Cue Pag LP| en moneda orig| en miles| consolid:si*|AENZAC1","Cue Pag LP| en moneda orig| en miles| consolid:si*|DESXXIC1","Cue Pag LP| en moneda orig| en miles| consolid:si*|RVIA5BC1","Ganancia Neta| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","Ganancia Neta| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","Ganancia Neta| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1"
"DESXXIC1<XLIM>","4T2011",3722588,"-",175669,1786568,"-",15488,"-",677819,"-",1132,4244478,"-",78672,4.3690580721,"-","-",108380.24769,"-","-",641585,"-",41919,675521,"-","-",131.1844241,"-",0.0045759609518,740912,"-",-733,201531,"-",2980,3602893,"-",36753,75.102946438,"-",5.0151008081,614622,"-",0,2284268,"-",66296,822622,"-",1,0,"-",0,289075,"-",26438
"DESXXIC1<XLIM>","1T2012",3977224,"-",182627,1867314,"-",19661,"-",859887,"-",1081,1089629,"-",20769,5.7058594225,"-","-",177678.03566,"-","-",147199,"-",10642,660898,"-","-",131.28720693,"-",0,699951,"-",-3423,60091,"-",976,942430,"-",10127,72.734307355,"-",4.6692483157,672627,"-",0,2436584,"-",66997,864321,"-",0,0,"-",0,55051,"-",6257
"DESXXIC1<XLIM>","2T2012",4194610,"-",183854,2091309,"-",17604,"-",881527,"-",1053,2307961,"-",41091,5.3798103126,"-","-",189034.73368,"-","-",341305,"-",20821,693474,"-","-",152.25646489,"-",0,609961,"-",-1612,114026,"-",1696,1966656,"-",20270,82.080084582,"-",4.1615303956,777500,"-",0,2643323,"-",62106,993818,"-",0,0,"-",0,110016,"-",12375
"DESXXIC1<XLIM>","3T2012",4409145,"-",183721,2204462,"-",17350,"-",903979,"-",983,3660525,"-",63030,5.7384643335,"-","-",88669.29809,"-","-",502146,"-",32386,684893,"-","-",139.81578712,"-",0,622929,"-",-2092,165692,"-",2377,3158379,"-",30644,71.436835423,"-",4.2669047088,803529,"-",0,2771342,"-",57725,933170,"-",0,0,"-",0,176852,"-",20598
"DESXXIC1<XLIM>","4T2012",5045055,"-",167835,2692866,"-",13805,"-",939218,"-",1002,5228758,"-",85700,6.3253527312,"-","-",104290.28243,"-","-",711631,"-",45777,772665,"-","-",123.97681642,"-",0.054609101517,281448,"-",-64.000000015,255521,"-",3357,4517127,"-",39923,78.129200264,"-",5.455501841,768195,"-",0,3269057,"-",52056,911463,"-",13,0,"-",0,290051,"-",27156
"DESXXIC1<XLIM>","1T2013",4930572,"-",174438,2254419,"-",17019,"-",918621,"-",948,1268073,"-",22247,7.4339197047,"-","-",163893.46577,"-","-",199811,"-",11772,828761,"-","-",120.99671553,"-",0,595291,"-",3117,76180,"-",981,1068262,"-",10475,62.581702746,"-",4.8094162052,752870,"-",0,3055837,"-",52604,940577,"-",0,0,"-",0,62125,"-",6054
"DESXXIC1<XLIM>","2T2013",5343331,"-",180881,2442169,"-",19593,"-",920435,"-",895,2681918,"-",43975,7.2799813717,"-","-",194591.05571,"-","-",461714,"-",22997,874362,"-","-",143.87847881,"-",0,667017,"-",-993,169776,"-",1645,2220204,"-",20978,64.263358959,"-",5.6971278088,764904,"-",0,3490042,"-",54495,1340886,"-",0,0,"-",0,122292,"-",10606
"DESXXIC1<XLIM>","3T2013",6306227,"-",172446,2568153,"-",19227,"-",962644,"-",2907,4245508,"-",67474,8.5057959013,"-","-",194295.53069,"-","-",704989,"-",38768,921914,"-","-",152.08373949,"-",0,1387709,"-",-4132,264130,"-",2453,3540519,"-",28706,70.326381477,"-",16.642358826,788148,"-",0,3196873,"-",52801,1520783,"-",0,0,"-",0,204857,"-",20705
"DESXXIC1<XLIM>","4T2013",6312888,"-",172205,2387105,"-",21139,"-",943470,"-",2937,5967315,"-",92252,9.1600878937,"-",2.06674167,205690.53243,"-",51435.5808,1004659,"-",53252,938748,"-","-",145.4424296,"-",0,1595276,"-",-1162,361792,"-",3495,4962656,"-",39000,71.917940716,"-",37.975384615,762797,"-",0,3115870,"-",51569,1493615,"-",0,2157,"-",0,319680,"-",30096
"DESXXIC1<XLIM>","1T2014",6470154,"-",174501,2579462,"-",58534,"-",944315,"-",2909,1522062,"-",24206,7.5436017948,"-","-",208945.37782,"-","-",227188,"-",13301,937371,"-","-",150.23976578,"-",0.019106049187,1456092,"-",-33168,96511,"-",904,1294874,"-",10905,68.704487801,"-",2.0816637078,854452,"-",0,3324612,"-",59595,1571969,"-",5,2157,"-",0,71094,"-",4270
